시설명,주소,경도,위도
팔룡제2경로당,경상남도 창원시 의창구 사화로80번길 16,128.614379706,35.252587753
구슬비경로당,경상남도 창원시 의창구 남산로27번길 16,128.614224908,35.259919285
대동중앙(아)경로당,경상남도 창원시 의창구 반계로 101,128.616149704,35.254835486
극동아파트경로당,경상남도 창원시 의창구 팔용로 446,128.615087551,35.255798653
차룡대동(아)경로당,경상남도 창원시 의창구 반계로 95,128.615702599,35.253902978
벽산블루밍A단지경로당,경상남도 창원시 의창구 반계로 104-9,128.617541971,35.254233415
벽산블루밍B단지경로당,경상남도 창원시 의창구 반계로 104-8,128.618196774,35.252626900
벽산블루밍C단지경로당,경상남도 창원시 의창구 남산로 20,128.612067063,35.258978161
명곡경로당,경상남도 창원시 의창구 태복산로15번길 8,128.640191536,35.253936553
낙원경로당,경상남도 창원시 의창구 도계로73번길 19,128.640451176,35.259252703
안골경로당,경상남도 창원시 의창구 하남천서길65,128.642123509,35.263617772
도계경로당,경상남도 창원시 의창구 도계두리길86번길 14-2,128.638554300,35.262107508
새동네경로당,경상남도 창원시 의창구 도계로4번길 18-1,128.634026433,35.258020908
도계휴먼시아경로당,경상남도 창원시 의창구 원이대로82번길,128.635556053,35.254990896
명서2경로당,경상남도 창원시 의창구 우곡로 73,128.640017270,35.247138274
명서주민복지회관경로당,경상남도 창원시 의창구 우곡로101번길 30-3,128.642144362,35.243139439
명서1경로당,경상남도 창원시 의창구 원이대로270번길 18,128.648324910,35.241586609
명지경로당,경상남도 창원시 의창구 명서로123번길 9,128.648628693,35.245940786
서곡경로당,경상남도 창원시 의창구 명지로109번길 18,128.650083206,35.249572438
두산위브경로당,경상남도 창원시 의창구 도계로 135,128.642761240,35.253975382
지귀경로당,경상남도 창원시 의창구 봉곡로3번길 15,128.661144022,35.245469371
봉곡경로당,경상남도 창원시 의창구 봉곡로24번길 9-20,128.664738046,35.248338676
연덕경로당,경상남도 창원시 의창구 봉곡로68번길 16,128.666457479,35.247877508
동부경로당,경상남도 창원시 의창구 봉곡로111번길 35,128.674032819,35.246567375
봉곡복지경로당,경상남도 창원시 의창구 창이대로165번길 7,128.655202364,35.244706561
사림제1경로당,경상남도 창원시 의창구 창이대로343번길 94-9,128.682829230,35.244204276
