시설구분,시설명,주소,경도,위도
생활편익시설,당리경로당,경상남도 창원시 의창구 대산면 대산북로485번길 23,128.690917293,35.369257746
생활편익시설,신성경로당,경상남도 창원시 의창구 대산면 대산북로 517,128.694018011,35.367742596
생활편익시설,수성경로당,경상남도 창원시 의창구 대산면 대산북로 568-15,128.69998475,35.366614204
생활편익시설,북모산경로당,경상남도 창원시 의창구 대산면 대산북로751번길 5,128.714500189,35.356365056
생활편익시설,남모산경로당,경상남도 창원시 의창구 대산면 모산길 34,128.711617925,35.354136089
생활편익시설,송등경로당,경상남도 창원시 의창구 대산면 진산대로506번길 46-18,128.715521563,35.347383208
생활편익시설,북가술경로당,경상남도 창원시 의창구 대산면 가술길 37,128.706776693,35.337439486
생활편익시설,해강그린아파트경로당,"경상남도 창원시 의창구 대산면 진산대로 437, 1206호 (해강아파트)",128.708300551,35.338686849
생활편익시설,남가술경로당,경상남도 창원시 의창구 대산면 가술길 13-1,128.707315891,35.335334475
생활편익시설,남가술부인경로당,경상남도 창원시 의창구 대산면 주남로 559-7,128.707146196,35.333824465
생활편익시설,가촌경로당,경상남도 창원시 의창구 대산면 봉강가술로 471번길 34-13,128.699934379,35.336110363
생활편익시설,장등경로당,경상남도 창원시 의창구 대산면 주남로483번길 22,128.702282945,35.328829314
생활편익시설,신등경로당,경상남도 창원시 의창구 대산면 가술산남로 65,128.692336396,35.324124098
생활편익시설,신동경로당,경상남도 창원시 의창구 대산면 가술산남로12번길 22-2,,
생활편익시설,백양경로당 ,경상남도 창원시 의창구 대산면 가술산남로130번길 24,128.688456522,35.329548544
생활편익시설,주남경로당,경상남도 창원시 의창구 대산면 주남로327번길 35-44 ,128.689683751,35.315856882
생활편익시설,대방경로당,경상남도 창원시 의창구 대산면 봉강가술로358번길 28-5,128.688473505,35.344952283
생활편익시설,대방여성경로당,경상남도 창원시 의창구 대산면 봉강가술로 421,128.694885589,35.34177752
생활편익시설,제동경로당,경상남도 창원시 의창구 대산면 제동길 39-17,128.712669546,35.334271916
생활편익시설,제동부인경로당,경상남도 창원시 의창구 대산면 제동길 24-2,128.711467247,35.332809514
생활편익시설,중앙경로당,경상남도 창원시 의창구 대산면 주남로394번길 33 5통 5반,128.699430508,35.318004862
생활편익시설,삼봉경로당,경상남도 창원시 의창구 대산면 진산대로292번길 35,128.717539033,35.329035968
생활편익시설,대진경로당,경상남도 창원시 의창구 대산면 진남로114번길 57,128.712305856,35.317369579
생활편익시설,상포부녀경로당,경상남도 창원시 의창구 대산면 진남로114번길 143,128.714668999,35.324345402
생활편익시설,상등경로당,경상남도 창원시 의창구 대산면 주남로416번길 17,128.702045178,35.322761214
생활편익시설,고등포경로당,경상남도 창원시 의창구 대산면 주남로394번길 55,128.699860024,35.315872303
생활편익시설,남포경로당,경상남도 창원시 의창구 대산면 진남로 69-10,128.708607776,35.309513818
생활편익시설,우암마을경로당,경상남도 창원시 의창구 대산면 북부로10번길32,128.725854166,35.340584594
생활편익시설,덕현경로당,경상남도 창원시 의창구 대산면 우암로 27,128.729070077,35.334835056
생활편익시설,월림경로당,경상남도 창원시 의창구 대산면 우암로79번길 6 -1,128.732065958,35.330870785
생활편익시설,신곡부인경로당,경상남도 창원시 의창구 대산면 우암로 100,128.732589175,35.329028016
생활편익시설,신곡경로당,경상남도 창원시 의창구 대산면 우암로 139,128.736017959,35.327575613
생활편익시설,용등경로당,경상남도 창원시 의창구 대산면 우암로 183,128.73984929,35.326192282
생활편익시설,중포마을경로당,경상남도 창원시 의창구 대산면 진산대로260번길 84 ,128.722877401,35.322073076
생활편익시설,동부경로당,경상남도 창원시 의창구 대산면 대산북로899번길 11,128.724529327,35.347803531
생활편익시설,서부경로당,경상남도 창원시 의창구 대산면 대산북로893번길 28,128.722418916,35.348936081
생활편익시설,유청경로당,경상남도 창원시 의창구 대산면 유등로 366,128.744098354,35.343370106
생활편익시설,유등경로당,경상남도 창원시 의창구 대산면 유등로 413,128.747969202,35.345254829
생활편익시설,유등부인경로당,경상남도 창원시 의창구 대산면 유등로387번길 10,128.744736258,35.345446608
생활편익시설,동곡경로당,경상남도 창원시 의창구 대산면 유등남길40번길 6,128.735760501,35.333226089
생활편익시설,대산NHF1단지경로당,"경상남도 창원시 의창구 대산면 주남로 514, 101동 1403호(엔에이치에프창원대산1단지)",128.705931204,35.329355402
생활편익시설,소답경로당,경상남도 창원시 의창구 의안로 32번길 34-1(소답동),128.627452889,35.264187051
생활편익시설,재건경로당,경상남도 창원시 의창구 읍성로 41번길 2-9(북동),128.623009311,35.265438875
생활편익시설,중동경로당,경상남도 창원시 의창구 의안로 31번길 14-1(중동),128.622501314,35.26462812
생활편익시설,북동경로당,경상남도 창원시 의창구 의안로 55번길 34-1(북동),128.620281207,35.2666862
생활편익시설,동정경로당,경상남도 창원시 의창구 동정길 31-6(동정동),128.613611337,35.264487708
생활편익시설,서상경로당,경상남도 창원시 의창구 천주로 12번길 12-6(서상동),128.619506753,35.262528956
생활편익시설,무학아파트경로당,경상남도 창원시 의창구 의창대로 139번길 23(동정동),128.613991309,35.263820306
