gid,lbl,val,point,경도,위도,geometry
라라540764,22.0,22.0,POINT (1054050 1676450),128.0929043944604,35.08170847235941,POINT (1054049.9999999995 1676450)
라라537768,12.0,12.0,POINT (1053750 1676850),128.08963963745595,35.08533125200948,POINT (1053749.9999999988 1676849.9999999995)
라라545595,8.0,8.0,POINT (1054550 1659550),128.0972803025513,34.92929522833222,POINT (1054549.9999999995 1659550.0000000007)
라라533744,29.0,29.0,POINT (1053350 1674450),128.085097329823,35.063712046804824,POINT (1053349.9999999965 1674450.000000001)
라라535767,36.0,36.0,POINT (1053550 1676750),128.08743926744395,35.084440216035084,POINT (1053549.9999999995 1676750.0000000002)
라라597731,7.0,7.0,POINT (1059750 1673150),128.15518956877682,35.05163138788976,POINT (1059750.0000000012 1673150.0000000002)
라라504737,18.0,18.0,POINT (1050450 1673750),128.05325137430802,35.05754943758721,POINT (1050450.0000000007 1673750.0000000002)
라라569739,7.0,7.0,POINT (1056950 1673950),128.12454270667854,35.059006775358355,POINT (1056950.0000000002 1673950)
라라397747,9.0,9.0,POINT (1039750 1674750),127.93596299728846,35.067044923839575,POINT (1039750.0000000009 1674750.0000000005)
라라506691,10.0,10.0,POINT (1050650 1669150),128.05516393929372,35.01606138944695,POINT (1050650.0000000005 1669150.0000000007)
라라521595,44.0,44.0,POINT (1052150 1659550),128.07100334355164,34.92942156035661,POINT (1052150.0000000012 1659550.0000000007)
라라519598,38.0,38.0,POINT (1051950 1659850),128.0688322622059,34.93213696120267,POINT (1051949.9999999995 1659850.000000001)
라라519592,20.0,20.0,POINT (1051950 1659250),128.06879491958543,34.92672670064401,POINT (1051950.0000000019 1659250.0000000002)
라라489618,7.0,7.0,POINT (1048950 1661850),128.03610210138692,34.950320574711505,POINT (1048950.0000000026 1661850)
라라557750,26.0,26.0,POINT (1055750 1675050),128.11145752615334,35.06899232794232,POINT (1055750.0000000005 1675050.000000001)
라라546780,8.0,8.0,POINT (1054650 1678050),128.09959138999963,35.09610301853108,POINT (1054649.9999999993 1678050)
라라533611,7.0,7.0,POINT (1053350 1661150),128.08424414325927,34.94378641004826,POINT (1053350.0000000007 1661150.000000001)
라라433665,18.0,18.0,POINT (1043350 1666550),127.97501730014125,34.992956480686104,POINT (1043350.0000000014 1666549.9999999995)
라라535766,6.0,6.0,POINT (1053550 1676650),128.0874328029697,35.0835385319115,POINT (1053549.9999999988 1676649.9999999995)
라라526596,30.0,30.0,POINT (1052650 1659650),128.07648403119313,34.93029741860093,POINT (1052650.0000000005 1659649.9999999998)
라라610709,8.0,8.0,POINT (1061050 1670950),128.16928208595309,35.03171668783666,POINT (1061050.0000000007 1670950.0000000007)
라라520593,25.0,25.0,POINT (1052050 1659350),128.06989599579754,34.927623280762106,POINT (1052050.0000000005 1659350)
라라515741,6.0,6.0,POINT (1051550 1674150),128.06533868359702,35.06110058846249,POINT (1051550.0000000007 1674149.9999999998)
라라394751,10.0,10.0,POINT (1039450 1675150),127.93269182959985,35.07066353773949,POINT (1039450.0000000001 1675150)
라라524742,10.0,10.0,POINT (1052450 1674250),128.07521469255732,35.061955876964674,POINT (1052450.0000000023 1674250.0000000005)
라라572684,6.0,6.0,POINT (1057250 1668450),128.1274533044841,35.009397128282934,POINT (1057249.999999998 1668450)
라라535769,32.0,32.0,POINT (1053550 1676950),128.08745219725384,35.086243583876126,POINT (1053550.0000000016 1676950)
라라515636,7.0,7.0,POINT (1051550 1663650),128.064687519382,34.966422283708205,POINT (1051550.0000000005 1663650)
라라545599,11.0,11.0,POINT (1054550 1659950),128.09730644567108,34.93290204941291,POINT (1054550 1659950.0000000002)
라라524596,27.0,27.0,POINT (1052450 1659650),128.07429425611943,34.930307788773106,POINT (1052450.0000000007 1659649.9999999998)
라라528743,13.0,13.0,POINT (1052850 1674350),128.0796076330383,35.06283668449025,POINT (1052850.000000001 1674350.0000000002)
라라511687,9.0,9.0,POINT (1051150 1668750),128.06061948733708,35.01242940333921,POINT (1051150.000000001 1668749.9999999998)
라라510686,8.0,8.0,POINT (1051050 1668650),128.0595173626484,35.01153276142404,POINT (1051050.0000000012 1668649.9999999998)
라라526608,7.0,7.0,POINT (1052650 1660850),128.07655974613857,34.94111791392522,POINT (1052650.0000000012 1660849.9999999998)
라라538768,29.0,29.0,POINT (1053850 1676850),128.09073658964925,35.08532591311946,POINT (1053850.0000000005 1676850)
라라498610,8.0,8.0,POINT (1049850 1661050),128.04591072097924,34.94306298532972,POINT (1049849.9999999993 1661050.0000000002)
라라496701,13.0,13.0,POINT (1049650 1670150),128.0442633444373,35.02512803234369,POINT (1049650.0000000002 1670150.0000000016)
라라454744,7.0,7.0,POINT (1045450 1674450),127.99846003005769,35.06409902015291,POINT (1045450.0000000007 1674450)
라라538772,7.0,7.0,POINT (1053850 1677250),128.09076259642353,35.088932645591505,POINT (1053849.9999999998 1677250.000000001)
라라523603,7.0,7.0,POINT (1052350 1660350),128.07324327871933,34.93662492065645,POINT (1052350.0000000007 1660350.0000000005)
라라525808,8.0,8.0,POINT (1052550 1680850),128.07673018237205,35.12146186333494,POINT (1052550 1680850.0000000005)
라라603709,7.0,7.0,POINT (1060350 1670950),128.1616085470213,35.03175876959116,POINT (1060350.0000000007 1670950.0000000007)
라라529605,9.0,9.0,POINT (1052950 1660550),128.07982579761435,34.9383971579799,POINT (1052950.0000000012 1660550.0000000002)
라라518700,10.0,10.0,POINT (1051850 1670050),128.06837247373596,35.02411578527728,POINT (1051850.0000000007 1670050.0000000002)
라라478738,8.0,8.0,POINT (1047850 1673850),128.02474577550873,35.05857781958095,POINT (1047850.0000000001 1673850)
라라563604,10.0,10.0,POINT (1056350 1660450),128.1170486818176,34.9373120651783,POINT (1056349.9999999993 1660450.0000000002)
라라533612,9.0,9.0,POINT (1053350 1661250),128.08425053940897,34.944688115488184,POINT (1053350 1661250.0000000007)
라라514741,52.0,52.0,POINT (1051450 1674150),128.06424205062294,35.06110569455457,POINT (1051450.0000000007 1674149.9999999998)
