격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
마마120203,0.0005862863363983,128.73503591927008,35.472685539134346,POINT (1112050.0000000033 1720350.0000000007),부북면,38080310,밀양시
마마193330,0.0005516024306483,128.81734968428808,35.586316599948425,POINT (1119350 1733049.999999999),상동면,38080320,밀양시
마마258326,0.0,128.88901409604907,35.58190561265263,POINT (1125850.000000003 1732650.0000000005),산내면,38080340,밀양시
마마161209,0.0002150296601859,128.78030274022885,35.47762336744732,POINT (1116149.999999999 1720950),가곡동,38080550,밀양시
마마236258,0.0006743943399476,128.8637002106295,35.52088738525421,POINT (1123650.0000000007 1725849.999999999),단장면,38080350,밀양시
마마202107,0.0006486110846458,128.82397969300666,35.38518881965967,POINT (1120249.9999999993 1710750),삼랑진읍,38080110,밀양시
마마216134,0.0005115797103779,128.8397929044546,35.40935775380706,POINT (1121649.9999999995 1713450.0000000002),삼랑진읍,38080110,밀양시
마마268348,0.0005366988370942,128.90039360427832,35.60160841788886,POINT (1126850.000000001 1734850.0000000005),산내면,38080340,밀양시
마마083137,0.0001455366580518,128.69338325663995,35.41359815232754,POINT (1108350.0000000007 1713750.0000000005),초동면,38080370,밀양시
마마106232,0.0002363721508469,128.7200030837227,35.49898498103376,POINT (1110650.0000000007 1723250.0000000007),부북면,38080310,밀양시
마마095278,0.0007084373759907,128.70849863195883,35.54057441256238,POINT (1109549.9999999995 1727850.0000000002),부북면,38080310,밀양시
마마134076,0.0010549045791849,128.74869591384964,35.358040334426995,POINT (1113449.9999999993 1707650),하남읍,38080120,밀양시
마마145256,6.941375506434695e-05,128.7633333469594,35.52017731311193,POINT (1114550 1725650),상동면,38080320,밀양시
마마261345,0.0005402100492304,128.89262096203814,35.59899380372654,POINT (1126150.0000000014 1734550.000000001),산내면,38080340,밀양시
마마012306,0.0001231736235172,128.61730377037148,35.56669886877813,POINT (1101250 1730649.999999999),청도면,38080390,밀양시
마마015207,0.0007176753917487,128.6193737010305,35.47742029282711,POINT (1101550 1720750.0000000002),무안면,38080380,밀양시
마마088113,0.0,128.69856892692945,35.391907948466546,POINT (1108850.0000000014 1711350),초동면,38080370,밀양시
마마136135,0.0005407564895576,128.7517182289428,35.41120436844133,POINT (1113650 1713549.9999999995),상남면,38080360,밀양시
마마293357,0.0,128.9281295850783,35.60939691803262,POINT (1129349.999999999 1735749.9999999995),산내면,38080340,밀양시
마마155222,0.0002461795317922,128.77387542597288,35.4894121738749,POINT (1115550.0000000005 1722249.9999999998),내일동,38080510,밀양시
마마076145,0.0011104731175824,128.68578050516442,35.42088598736317,POINT (1107649.999999999 1714550.0000000005),초동면,38080370,밀양시
마마046289,0.0006909556121342,128.6545965727467,35.55102022365166,POINT (1104650.0000000007 1728950.0000000005),청도면,38080390,밀양시
마마071119,0.0002897543691137,128.67993226097465,35.39750116213285,POINT (1107150.0000000007 1711950),초동면,38080370,밀양시
마마219204,0.000686753106947,128.84414483282637,35.47242114154091,POINT (1121950.0000000005 1720450.0000000005),단장면,38080350,밀양시
마마144306,0.0004434994573351,128.7629372594286,35.565261035807424,POINT (1114449.9999999995 1730649.999999999),상동면,38080320,밀양시
마마201106,0.000628971727234,128.82286421292932,35.384299433368504,POINT (1120149.9999999993 1710650),삼랑진읍,38080110,밀양시
마마065143,0.0003951564816752,128.67363997222495,35.41920135859365,POINT (1106549.9999999995 1714350),초동면,38080370,밀양시
마마198104,0.0008879376492152,128.8195326002923,35.38253265606103,POINT (1119850.0000000007 1710450.0000000002),삼랑진읍,38080110,밀양시
마마083123,2.0665933337575594e-05,128.69319721288966,35.40097733062792,POINT (1108349.9999999993 1712349.9999999995),초동면,38080370,밀양시
마마151191,6.945385417686608e-05,128.76902733798818,35.46151365290725,POINT (1115149.9999999993 1719150),상남면,38080360,밀양시
마마192228,0.0003186154444766,128.8147445727161,35.4943832949543,POINT (1119250.0000000012 1722849.9999999998),산외면,38080330,밀양시
마마314326,0.0002016784384033,128.95080429270686,35.58117759369409,POINT (1131450.000000001 1732649.9999999995),산내면,38080340,밀양시
마마228270,0.0003642312651517,128.85506131856377,35.53180375479634,POINT (1122849.9999999995 1727049.999999999),산외면,38080330,밀양시
마마013307,0.000126378551342,128.61841962109165,35.56759012443675,POINT (1101350.0000000007 1730749.9999999998),청도면,38080390,밀양시
마마052177,0.0,128.6597626939127,35.44999045653892,POINT (1105249.9999999995 1717750.0000000002),무안면,38080380,밀양시
